Date,daily_ic,decile_spread,stocks,year,rolling_ic_63
2024-11-15,0.0590773836830287,0.0470543248060819,499,2024,0.06162251448776305
2024-11-18,0.18536224255740394,0.0759750708821704,499,2024,0.06760517401220494
2024-11-19,0.2025058309389864,0.06585468630256686,499,2024,0.07379800105086821
2024-11-20,0.21724634811792257,0.05957406267265999,499,2024,0.07816146808821313
2024-11-21,0.1546201801192747,0.048627490405925726,499,2024,0.08154890925473053
2024-11-22,0.16046164618393413,0.053583590438435955,499,2024,0.08524216917292224
2024-11-25,0.12492667262235312,0.04385152828440565,499,2024,0.08672419231271876
2024-11-26,0.10647734022261389,0.031631027340060625,499,2024,0.08847534962830614
2024-11-27,0.1692335997295796,0.0501769071108786,499,2024,0.08865695284238394
2024-11-29,0.17802052297365814,0.04302553048537171,499,2024,0.08958321768800556
2024-12-02,0.09743902262356036,0.03191287706973535,499,2024,0.08884455466680155
2024-12-03,0.0315979428736992,0.01906659067812627,499,2024,0.0847620795233611
2024-12-04,-0.07187773136634715,-9.270337013896415e-06,499,2024,0.07795919856542305
2024-12-05,-0.056847478088707534,0.005599795778728572,499,2024,0.07093921175684702
2024-12-06,0.12129531351860347,0.04052276296704008,499,2024,0.06611493555096423
2024-12-09,0.14340343337276962,0.04649136032634492,499,2024,0.06127788796181001
2024-12-10,0.08182330926914068,0.03210980217505448,499,2024,0.05524860698639581
2024-12-11,0.0853131805780235,0.04657090610472815,499,2024,0.050449655861733014
2024-12-12,0.10603259531110412,0.03604332532419991,499,2024,0.04541235617151303
2024-12-13,0.11397329598956948,0.03261413537800543,499,2024,0.039878812127985164
2024-12-16,0.12506487674143468,0.039535236742469754,499,2024,0.0345044420453069
2024-12-17,0.09057459497307868,0.03477810264890127,499,2024,0.03172752542760027
2024-12-18,0.14846811695680515,0.053147702730246354,499,2024,0.03206174291593322
2024-12-19,0.21055392713137117,0.053469024727784656,499,2024,0.033485631810570834
2024-12-20,0.3173614699278074,0.08956650268103508,499,2024,0.036965089482847886
2024-12-23,0.2727331289084192,0.0672657974092918,499,2024,0.04026026886436862
2024-12-24,0.1923170678706811,0.05806130776368719,499,2024,0.04200854261592605
2024-12-26,0.04055909409179805,0.02050447442175404,499,2024,0.04452691498889919
2024-12-27,0.049274935412994665,0.01158379760521568,499,2024,0.04617192311569016
2024-12-30,0.0645799550909047,0.01701710596104058,499,2024,0.04581433204906657
2024-12-31,0.03712523842866455,0.02213918157086797,499,2024,0.04499964319535992
2025-01-02,0.11918893208102951,0.05118282901947148,499,2025,0.04346126715086321
2025-01-03,0.028427843639085397,0.024585419838551476,499,2025,0.04179171577042016
2025-01-06,0.036558418040901076,0.019198980450855392,499,2025,0.0430911453812195
2025-01-07,0.01292039500688123,0.023471275439907728,499,2025,0.04227124281073142
2025-01-08,0.061862037327667374,0.03876742509076854,499,2025,0.042486171808141036
2025-01-10,0.048087790037907134,0.055326963379786445,499,2025,0.043783360179912315
2025-01-13,0.12518125407441388,0.08619434489340867,499,2025,0.04519905061605329
2025-01-14,0.06372986937730883,0.05555338427581859,499,2025,0.04580244060505788
2025-01-15,0.06716420793394016,0.08910561970690326,499,2025,0.04733978034477828
2025-01-16,0.0002569959195499433,0.0486840148068908,499,2025,0.04854857007953562
2025-01-17,-0.025312601105826105,0.05042060427917642,499,2025,0.048105096021072546
2025-01-21,-0.002638916386990849,0.06870561274220123,499,2025,0.04838279350822509
2025-01-22,-0.0323585001327957,0.03856179884057449,499,2025,0.04825923869157324
2025-01-23,-0.048344689378757515,0.013188119459733388,499,2025,0.04860058154174096
2025-01-24,-0.12646072868628822,-0.004572465898569391,499,2025,0.048550317694099225
2025-01-27,-0.08414622015114565,0.006397997329276369,499,2025,0.04918521686708662
2025-01-28,-0.1119011999903421,-0.000728042164818761,499,2025,0.04793661524617411
2025-01-29,-0.04359997102639013,0.014113961563860907,499,2025,0.0478512657366751
2025-01-30,-0.15473761981794912,-0.01640873579766218,499,2025,0.04643724933132664
2025-01-31,-0.10707149238235507,-0.010639891262550945,499,2025,0.045642046380004214
2025-02-03,-0.23125064587005334,-0.06486433297299984,499,2025,0.0436310371747511
2025-02-04,-0.20217495231426705,-0.03995008432498001,499,2025,0.04254512313975819
2025-02-05,-0.14033522466619985,-0.016998033680019925,499,2025,0.0413599721914665
2025-02-06,-0.15497336842359416,-0.03819259789385697,499,2025,0.03941650062412068
2025-02-07,-0.17525045271265421,-0.06117710063490191,499,2025,0.03738334883574761
2025-02-10,-0.27087823840451986,-0.11771441001728616,499,2025,0.033389664776100295
2025-02-11,-0.3057286621435642,-0.10685924386722082,499,2025,0.030514329864548367
2025-02-12,-0.3163576309244996,-0.10311138567144225,499,2025,0.027539656862012412
2025-02-13,-0.2924619058476234,-0.11111224026717724,500,2025,0.023381709774687627
2025-02-14,-0.2837427669710678,-0.08580378881067532,500,2025,0.02009606938714616
2025-02-18,-0.215312829251317,-0.05598764401083011,500,2025,0.01573458932275201
2025-02-19,-0.23538958155832623,-0.08375639720524566,500,2025,0.012089628604068054
2025-02-20,-0.22418480073920294,-0.07849819389013117,500,2025,0.0075934034545088215
2025-02-21,-0.33878535514142055,-0.09140598582357334,500,2025,-0.0007263996835677573
2025-02-24,-0.29243032172128686,-0.05690039572620406,500,2025,-0.008582529090873682
2025-02-25,-0.09927054108216433,-0.01414206543799068,500,2025,-0.013606606697224266
2025-02-26,-0.1326619706478826,-0.02503476958102273,500,2025,-0.018166640836385493
2025-02-27,-0.31260489841959366,-0.06700353810695306,500,2025,-0.02567563360787006
2025-02-28,-0.2849882759531038,-0.041799159857075524,500,2025,-0.032182220093194776
2025-03-03,-0.38553360613442456,-0.08692652529825584,500,2025,-0.039991917654417605
2025-03-04,-0.2979704078816315,-0.04537283421321172,500,2025,-0.047407854283166996
2025-03-05,-0.3513947175788703,-0.07316824302574543,500,2025,-0.055811270799873795
2025-03-06,-0.21013917655670622,-0.028734075950301592,500,2025,-0.0606934644376558
2025-03-07,-0.3489950919803679,-0.09554022051276398,500,2025,-0.06673462372105368
2025-03-10,-0.27957212628850514,-0.06649451278549867,500,2025,-0.07003136014838954
2025-03-11,-0.12769491077964312,-0.015829553591829314,500,2025,-0.07115592257205518
2025-03-12,-0.3240094560378241,-0.08104453482075685,500,2025,-0.07822425224755401
2025-03-13,0.014713594854379418,0.005923493567045453,500,2025,-0.08026694809705229
2025-03-14,-0.11860261841047363,-0.03514919838455763,500,2025,-0.08344831202847473
2025-03-17,-0.051108780435121744,-0.009651755893467217,500,2025,-0.08561373998106434
2025-03-18,-0.1077945111780447,-0.01776537155023275,500,2025,-0.08900782103644765
2025-03-19,-0.09550982203928815,-0.017153030810787402,500,2025,-0.09233294989404857
2025-03-20,-0.16113702854811418,-0.03832922190214996,500,2025,-0.09687583727959696
2025-03-21,-0.20086313945255782,-0.05482265374469233,500,2025,-0.1015018330641309
2025-03-24,-0.3480588002352009,-0.10115608964493261,500,2025,-0.10938321270209922
2025-03-25,-0.31259049836199343,-0.0912782187751324,500,2025,-0.11768709247183519
2025-03-26,-0.27137148548594187,-0.07979562408834869,500,2025,-0.12703206001808515
2025-03-27,-0.035000780003120006,0.010573829879850439,500,2025,-0.13191672523890324
2025-03-28,0.09609043236172944,0.04595387062729345,500,2025,-0.13344413215174378
2025-03-31,0.2644365137460549,0.08631705051068438,500,2025,-0.1298905223159619
2025-04-01,0.2287218748874995,0.07955310228249601,500,2025,-0.12704215819731896
2025-04-02,0.2194445897783591,0.07827694044392458,500,2025,-0.12458398939275621
2025-04-03,0.3670761883047532,0.09942440817501277,500,2025,-0.11934667272805637
2025-04-04,0.5958565274261096,0.23594113160713545,500,2025,-0.1117805204209916
2025-04-07,0.5653938775755103,0.2640333805838613,500,2025,-0.10325725004104835
2025-04-08,0.4104934179736719,0.1129940525466809,500,2025,-0.0973217738516393
2025-04-09,0.4559244476977907,0.15028859089081778,500,2025,-0.09028996349146613
2025-04-10,0.373688598754395,0.11056790227169636,500,2025,-0.08534033553231171
2025-04-11,0.43355165420661673,0.13095523937564457,500,2025,-0.07922186149788776
2025-04-14,0.5254251737006947,0.14493248011451165,500,2025,-0.0728687834085817
2025-04-15,0.5996531506126024,0.2314915110769214,500,2025,-0.06436206465881515
2025-04-16,0.5455785343141372,0.27572781642030225,500,2025,-0.05676818646230408
2025-04-17,0.6291146124584498,0.25904402053496567,500,2025,-0.04678631953311519
2025-04-21,0.6128646274585099,0.25943164882108105,500,2025,-0.03665652225431621
2025-04-22,0.6285742262969052,0.2751546302840195,500,2025,-0.026637266021238497
2025-04-23,0.5370895083580334,0.18281530224715592,500,2025,-0.01759840874360629
2025-04-24,0.5448426913707655,0.17047812487423586,500,2025,-0.008182736033296405
2025-04-25,0.5278328633314534,0.14551892565292018,500,2025,0.0022028765384137818
2025-04-28,0.4366686906747627,0.09179473452103862,500,2025,0.010469779884856771
2025-04-29,0.5011789327157309,0.11022539745725467,500,2025,0.020201210562730946
2025-04-30,0.5095051420205681,0.13088890518208837,500,2025,0.028980656801571553
2025-05-01,0.4556301105204421,0.10779003286021678,500,2025,0.03866903347360951
2025-05-02,0.38988482353929416,0.0718720352627986,500,2025,0.046557228964429334
2025-05-05,0.3393035652142608,0.07318245898775519,500,2025,0.055613645013386705
2025-05-06,0.3431132444529778,0.07258946540853056,500,2025,0.06426901321604138
2025-05-07,0.3473823815295261,0.08185010814444475,500,2025,0.07201056252073545
2025-05-08,0.3323386413545654,0.06744238901993968,500,2025,0.07974567378705544
2025-05-09,0.25273137892551567,0.06750740099547309,500,2025,0.08653903619401052
2025-05-12,0.15917727670910684,0.038638260848013806,500,2025,0.09336531421168713
2025-05-13,0.04809504038016152,0.029174099772880935,500,2025,0.09898156345809547
2025-05-14,-0.013944919779679116,0.003737175885854205,500,2025,0.103781765222299
2025-05-15,0.00799126396505586,0.004170050347196372,500,2025,0.10855086315583357
2025-05-16,-0.023151068604274416,-0.012940281192055779,500,2025,0.11268723932038585
2025-05-19,0.049991047964191855,0.02801848304939286,500,2025,0.11689841197460027
2025-05-20,0.056713186852747406,0.03913656264738166,500,2025,0.12153496385414111
2025-05-21,0.037890967563870254,0.03241084463319806,500,2025,0.12569489668434863
2025-05-22,0.014728186912747649,0.010943291045224034,500,2025,0.13130622274870052
2025-05-23,0.044743858975435896,0.02015496671542424,500,2025,0.1366581938708707
2025-05-27,0.10119074076296306,0.049917936676749514,500,2025,0.1398401189795235
2025-05-28,0.06333682934731738,0.032848909695984474,500,2025,0.1429512110429394
2025-05-29,0.133376213504854,0.030426940655252692,500,2025,0.15003027631158142
2025-05-30,0.1745449221796887,0.0481560672544822,500,2025,0.15732445405972098
2025-06-02,0.23072885891543565,0.07049565201516203,500,2025,0.16710639794940133
2025-06-03,0.2114760779043116,0.04426464159621825,500,2025,0.17519285010473376
2025-06-04,0.06077601910407641,0.01654444415856888,500,2025,0.1817352427504948
2025-06-05,-0.026051336205344822,-0.003618862826580723,500,2025,0.18465727196242118
2025-06-06,0.022132792531170124,-0.0032881050213757384,500,2025,0.1905481907641916
2025-06-09,-0.0023395293581174323,-0.005195175567898029,500,2025,0.19494870817578505
2025-06-10,-0.024907683630734524,-0.011677349318476343,500,2025,0.196580251463863
2025-06-11,-0.05598406393625573,-0.007096206052742246,500,2025,0.20083462276706252
2025-06-12,-0.0574560378241513,-0.02098441038816814,500,2025,0.19968907304200642
2025-06-13,0.09283688334753337,0.013543875573289,500,2025,0.20304525560959386
2025-06-16,0.12349326197304789,0.022990721518801577,500,2025,0.2058167166001997
2025-06-17,0.10176434305737223,0.013133960700224837,500,2025,0.2091430476198095
2025-06-18,0.20501698006792027,0.04854039025097664,500,2025,0.21391331431992394
2025-06-20,0.20508494833979338,0.035215637873683654,500,2025,0.21972636157211292
2025-06-23,0.27658545834183335,0.06625383165741175,500,2025,0.22730491074345247
2025-06-24,0.036660626642506564,0.002577024355154265,500,2025,0.2334115683129399
2025-06-25,-0.055532958131832524,-0.01823934551163747,500,2025,0.23749184672929166
2025-06-26,-0.07167091068364273,-0.03188169005385494,500,2025,0.24066169712297894
2025-06-27,-0.04899792399169597,-0.023937193591408158,500,2025,0.2404395202342714
2025-06-30,-0.04268330673322693,-0.02190041757063894,500,2025,0.23823676247085937
2025-07-01,-0.058470281881127524,-0.014249905933576997,500,2025,0.23311125777836442
2025-07-02,0.05372815091260365,0.01460347484342433,500,2025,0.23033357962003273
2025-07-03,0.09906423625694502,0.025140727641012363,500,2025,0.22842278035778807
2025-07-07,0.03029580118320473,-0.004576976793570366,500,2025,0.22307705992728732
2025-07-08,0.02512618050472202,-0.009795264729694067,500,2025,0.21401784807139226
2025-07-09,0.0755566222264889,-0.005347774551390801,500,2025,0.20624265354204274
2025-07-10,0.08136752547010187,0.025140130211577405,500,2025,0.20101843302611302
2025-07-11,0.10410598442393769,0.014706725900788881,500,2025,0.19543401297414714
2025-07-14,0.05183185532742131,0.021787018442011925,500,2025,0.1903251757768936
2025-07-15,0.06978152712610851,0.011738513097410752,500,2025,0.18455104677561565
2025-07-16,0.06178786315145261,0.006148785323480763,500,2025,0.17719172438594516
2025-07-17,0.05594959979839919,0.0023891867332955855,500,2025,0.1685615092936562
2025-07-18,0.03810543242172969,-0.001605351273421457,500,2025,0.16050638069218942
2025-07-21,0.039141756567026266,-0.00013905692326528218,500,2025,0.15114173218597635
2025-07-22,0.06351990207960832,0.0013095214851997425,500,2025,0.1424219746402795
2025-07-23,0.09473308293233172,0.016930628484248696,500,2025,0.1339483056979847
2025-07-24,0.10233775335101342,0.019779746412676595,500,2025,0.12704748418993675
2025-07-25,0.04179943119772479,-3.9110949229589215e-05,500,2025,0.11906267053639644
2025-07-28,-0.022940443761775047,-0.0106658392185748,500,2025,0.11032023709047217
2025-07-29,-0.04146342985371941,-0.020495133977179066,500,2025,0.10273083835192483
2025-07-30,-0.009008388033552134,-0.0028006767728443807,500,2025,0.09463262691146003
2025-07-31,-0.09610617642470569,-0.04950446645905961,500,2025,0.08501974884090013
2025-08-01,0.03473965895863583,-0.0059676807283042775,500,2025,0.07833894802245873
2025-08-04,-0.007402397609590439,-0.0015122733088636436,500,2025,0.07203280165501613
2025-08-05,-0.031314941259765035,0.0009543300852548423,500,2025,0.0661499682189205
2025-08-06,0.01780106320425282,0.015164034383525284,500,2025,0.06098628280227406
2025-08-07,0.007190140760563042,0.020266281716274405,500,2025,0.05558640596467147
2025-08-08,0.08453861015444061,0.039147008585999996,500,2025,0.05165307213609806
2025-08-11,0.15475242700970804,0.04319141114193877,500,2025,0.05009785067711698
2025-08-12,0.14054571418285672,0.05963957748666761,500,2025,0.04980211158939873
2025-08-13,0.0020142800571202285,0.029027453289019945,500,2025,0.049070670949350456
2025-08-14,0.05971607886431546,0.04355583296962199,500,2025,0.05023989315004879
2025-08-15,0.07675374701498806,0.06127112150368932,500,2025,0.05133136113496835
2025-08-18,0.12625480901923608,0.08147294511061853,500,2025,0.0537028830020082
2025-08-19,0.004190704762819051,0.0494286368847381,500,2025,0.05297589342738323
2025-08-20,0.1422814011256045,0.08390180808314143,500,2025,0.054334119050761916
2025-08-21,0.17054180216720866,0.09952301750472844,500,2025,0.056439687853989506
2025-08-22,0.22733159732638927,0.11688471209594524,500,2025,0.05981434516214255
2025-08-25,0.17753427813711253,0.10778313751976043,500,2025,0.06192212959328027
2025-08-26,0.09603494413977656,0.06268050120207147,500,2025,0.06184029155164239
2025-08-27,0.040066432265729056,0.04320698792417997,500,2025,0.061470920169394955
2025-08-28,0.007988287953151813,0.04193270703319819,500,2025,0.05948063563682826
2025-08-29,0.039931455725822906,0.03774216082509665,500,2025,0.057343913947084345
2025-09-02,0.14801819207276828,0.10068016174605296,500,2025,0.05603104621942296
2025-09-03,0.08241152964611857,0.06805425317940286,500,2025,0.05398240259627705
2025-09-04,0.0991314365257461,0.07886611632448276,500,2025,0.05459121874582736
2025-09-05,0.13437116148464592,0.058478882083361855,500,2025,0.05713760759804944
2025-09-08,0.0964319057276229,0.03936684054141293,500,2025,0.05831695860116773
2025-09-09,0.10611738446953786,0.04425994530079761,500,2025,0.060038496915892414
2025-09-10,0.04018700874803499,0.03318799171275827,500,2025,0.06107174600126971
2025-09-11,0.11501623606494424,0.04678438057787877,500,2025,0.06378603647747924
2025-09-12,0.14025454501818005,0.06681364131904119,500,2025,0.06692429969719878
2025-09-15,0.11215456061824247,0.03606526164955881,500,2025,0.06723092949514656
2025-09-16,0.09099041196164785,0.05834045816006202,500,2025,0.06671501124099735
2025-09-17,0.059566126264505054,0.04670239284599716,500,2025,0.06604519827603118
2025-09-18,-0.028764403057612232,0.025258447149689073,500,2025,0.06233438267086402
2025-09-19,-0.012362161448645794,0.006624775276285667,500,2025,0.058882841245650686
2025-09-22,-0.01315810063240253,0.0033043564475517245,500,2025,0.05428373713494853
2025-09-23,-0.012110544442177767,0.00797753390066419,500,2025,0.053509591562175766
2025-09-24,0.06511600446401784,0.03366690560301939,500,2025,0.055424654460522596
2025-09-25,0.06271349885399541,0.04021135243782785,500,2025,0.0575577403261994
2025-09-26,0.1384314017256069,0.0611580734229382,500,2025,0.0605328089883788
2025-09-29,0.09782621530486121,0.037061274242648184,500,2025,0.06276311886199924
2025-09-30,0.15452471409885637,0.06324038233197893,500,2025,0.06614399181406248
2025-10-01,0.15350307801231203,0.040627851035282644,500,2025,0.06772772081564515
2025-10-02,0.15992550370201478,0.04039097962601654,500,2025,0.0686937726798526
2025-10-03,0.07087631550526202,0.015866351024220876,500,2025,0.06933790782782177
2025-10-06,0.10632359329437319,0.014979143782239274,500,2025,0.07062675564987973
2025-10-07,0.06543280573122291,0.0017320093337081788,500,2025,0.07046606014995488
2025-10-08,0.06865909063636254,0.00995967748273762,500,2025,0.07026433896211774
2025-10-09,0.020896499585998346,-0.0029907085803704825,500,2025,0.06894355348849966
2025-10-10,-0.025796263185052737,-0.008175238425755085,500,2025,0.0677113611311588
2025-10-13,0.0027381229524918098,-0.01725512944804136,500,2025,0.06664718011252997
2025-10-14,-0.014542522170088681,-0.025027740172086546,500,2025,0.06543558669472771
2025-10-15,-0.01983934335737343,-0.006255267998092749,500,2025,0.06423258759701705
2025-10-16,-0.024862851451405803,-0.022961615351959126,500,2025,0.06323309102760219
2025-10-17,0.022428569714278854,0.003609634674934567,500,2025,0.06296780234739986
2025-10-20,-0.037081588326353304,-0.027418579216721552,500,2025,0.06137095329333697
2025-10-21,-0.09847181788727154,-0.02458500333781509,500,2025,0.058304208835882956
2025-10-22,-0.2227686030744123,-0.050659680567761,500,2025,0.05314379047992381
2025-10-23,-0.10509306037224148,-0.04029918879130501,500,2025,0.05081216362960689
2025-10-24,-0.2722360649442597,-0.06762053486433721,500,2025,0.04685509027750396
2025-10-27,-0.24406030965956535,-0.07013968276227787,501,2025,0.04363926678852228
2025-10-28,-0.2328200014314002,-0.07846568701583126,501,2025,0.040086701496492946
2025-10-29,-0.20016642412386385,-0.07766090440873694,501,2025,0.038434951533014246
2025-10-30,-0.2258880167950951,-0.0737333271167539,501,2025,0.03429800429882804
2025-10-31,-0.2280238566691319,-0.08545969750945509,501,2025,0.03079607637724802
2025-11-03,-0.21596516926306752,-0.07655192472038318,501,2025,0.027865120377195594
2025-11-04,-0.16487935682420024,-0.05912173118981971,501,2025,0.024965431170394757
